"","SiteName","Buffer","Imperv","Connectdness","Structure","NDSI","Biophony","Anthrophony"
"1","Braod Meadow Brook","Buffer 500 (m)",4.33295063145809,32.0022962112514,228.605051664753,0.184776657923871,1.30804748964849,0.744729995158985
"2","Braod Meadow Brook","Buffer 1000 (m)",40.1634697967363,18.0698539937017,145.998854852562,0.184776657923871,1.30804748964849,0.744729995158985
"3","Braod Meadow Brook","Buffer 1500 (m)",65.4026007139215,12.3262366139725,115.578658847527,0.184776657923871,1.30804748964849,0.744729995158985
"4","Braod Meadow Brook","Buffer 2000 (m)",67.5184840234991,9.76995271528872,104.013397334862,0.184776657923871,1.30804748964849,0.744729995158985
"5","Braod Meadow Brook","Buffer 2500 (m)",72.1408534628959,7.73534399779988,88.6026951459871,0.184776657923871,1.30804748964849,0.744729995158985
"6","Braod Meadow Brook","Buffer 3000 (m)",70.4151676271132,7.2646693622847,86.1951988283613,0.184776657923871,1.30804748964849,0.744729995158985
"7","Burncoat Pond","Buffer 500 (m)",0,61.9519450800915,201.62471395881,0.836058052432813,1.81978296557079,0.17612897202994
"8","Burncoat Pond","Buffer 1000 (m)",2.9371051120046,55.0878805284319,184.238655944859,0.836058052432813,1.81978296557079,0.17612897202994
"9","Burncoat Pond","Buffer 1500 (m)",8.17141766352762,51.2050139984729,174.761262407737,0.836058052432813,1.81978296557079,0.17612897202994
"10","Burncoat Pond","Buffer 2000 (m)",12.6619667907243,48.4076724878328,166.325508159175,0.836058052432813,1.81978296557079,0.17612897202994
"11","Burncoat Pond","Buffer 2500 (m)",14.2245000917263,46.1230966795084,158.643643368189,0.836058052432813,1.81978296557079,0.17612897202994
"12","Burncoat Pond","Buffer 3000 (m)",16.1382382892057,45.8389447556008,158.420506619145,0.836058052432813,1.81978296557079,0.17612897202994
"13","Cooks Canyon","Buffer 500 (m)",14.5296127562642,35.7380410022779,191.489749430524,0.666334060650856,1.72652745889234,0.3619954393059
"14","Cooks Canyon","Buffer 1000 (m)",26.1939828080229,30.9220630372493,147.68223495702,0.666334060650856,1.72652745889234,0.3619954393059
"15","Cooks Canyon","Buffer 1500 (m)",25.1942217131221,33.7936871579483,145.38335242459,0.666334060650856,1.72652745889234,0.3619954393059
"16","Cooks Canyon","Buffer 2000 (m)",19.5029361214552,40.0972500716127,153.277356058436,0.666334060650856,1.72652745889234,0.3619954393059
"17","Cooks Canyon","Buffer 2500 (m)",15.1985061632223,46.7158502497365,161.908261925491,0.666334060650856,1.72652745889234,0.3619954393059
"18","Cooks Canyon","Buffer 3000 (m)",13.9856364852384,51.4542819835027,165.256791617567,0.666334060650856,1.72652745889234,0.3619954393059
"19","Eagle Lake","Buffer 500 (m)",2.26666666666667,69.9310344827586,201.404597701149,0.54065428922381,1.64804171204875,0.443051401237246
"20","Eagle Lake","Buffer 1000 (m)",13.7335243553009,58.041547277937,173.026074498567,0.54065428922381,1.64804171204875,0.443051401237246
"21","Eagle Lake","Buffer 1500 (m)",17.3961807765754,53.0290260980267,165.996308084023,0.54065428922381,1.64804171204875,0.443051401237246
"22","Eagle Lake","Buffer 2000 (m)",17.9266370540192,50.9976357644362,168.70704972059,0.54065428922381,1.64804171204875,0.443051401237246
"23","Eagle Lake","Buffer 2500 (m)",18.2227466434496,48.1490629152729,162.067955826422,0.54065428922381,1.64804171204875,0.443051401237246
"24","Eagle Lake","Buffer 3000 (m)",18.3270632419873,46.9001877844616,158.561889302651,0.54065428922381,1.64804171204875,0.443051401237246
"25","Flat Rocks","Buffer 500 (m)",0.669336384439359,82.9210526315789,236.021739130435,0.55093336092171,1.61812672384315,0.476895574038951
"26","Flat Rocks","Buffer 1000 (m)",8.10358680057389,70.5302725968436,214.745767575323,0.55093336092171,1.61812672384315,0.476895574038951
"27","Flat Rocks","Buffer 1500 (m)",19.1067565848072,57.8195699198371,185.391016668787,0.55093336092171,1.61812672384315,0.476895574038951
"28","Flat Rocks","Buffer 2000 (m)",25.6223861357777,51.0235605843598,168.515110283586,0.55093336092171,1.61812672384315,0.476895574038951
"29","Flat Rocks","Buffer 2500 (m)",28.4824786716815,49.0484817906614,165.100220163288,0.55093336092171,1.61812672384315,0.476895574038951
