"","SITE","NDSI_select","BIO_select","ANT_select","ACI_select","ADI_select","AEI_select","BI_select","MEAN_NDVI","MEAN_NDBI","Buffer"
"1","Braod Meadow Brook",0.184776657923871,1.30804748964849,0.744729995158985,7812.35089857904,0.840221868686869,0.774500151515152,6.5764603738531,0.883410091,-0.334639238,500
"2","Braod Meadow Brook",0.184776657923871,1.30804748964849,0.744729995158985,7812.35089857904,0.840221868686869,0.774500151515152,6.5764603738531,0.758528132,-0.264302042,1000
"3","Braod Meadow Brook",0.184776657923871,1.30804748964849,0.744729995158985,7812.35089857904,0.840221868686869,0.774500151515152,6.5764603738531,0.677024455,-0.217818331,1500
"4","Braod Meadow Brook",0.184776657923871,1.30804748964849,0.744729995158985,7812.35089857904,0.840221868686869,0.774500151515152,6.5764603738531,0.654822337,-0.207788542,2000
"5","Braod Meadow Brook",0.184776657923871,1.30804748964849,0.744729995158985,7812.35089857904,0.840221868686869,0.774500151515152,6.5764603738531,0.629502452,-0.201313124,2500
"6","Braod Meadow Brook",0.184776657923871,1.30804748964849,0.744729995158985,7812.35089857904,0.840221868686869,0.774500151515152,6.5764603738531,0.634282308,-0.202996653,3000
"7","Burncoat Pond",0.836058052432813,1.81978296557079,0.17612897202994,7889.78771413913,1.25454294444444,0.654951388888889,11.598200867455,0.843594009,-0.392593469,500
"8","Burncoat Pond",0.836058052432813,1.81978296557079,0.17612897202994,7889.78771413913,1.25454294444444,0.654951388888889,11.598200867455,0.793918692,-0.388825127,1000
"9","Burncoat Pond",0.836058052432813,1.81978296557079,0.17612897202994,7889.78771413913,1.25454294444444,0.654951388888889,11.598200867455,0.812428994,-0.370245659,1500
"10","Burncoat Pond",0.836058052432813,1.81978296557079,0.17612897202994,7889.78771413913,1.25454294444444,0.654951388888889,11.598200867455,0.807650626,-0.359527144,2000
"11","Burncoat Pond",0.836058052432813,1.81978296557079,0.17612897202994,7889.78771413913,1.25454294444444,0.654951388888889,11.598200867455,0.791293464,-0.356673602,2500
"12","Burncoat Pond",0.836058052432813,1.81978296557079,0.17612897202994,7889.78771413913,1.25454294444444,0.654951388888889,11.598200867455,0.789732481,-0.354891722,3000
"13","Cooks Canyon",0.666334060650856,1.72652745889234,0.3619954393059,7749.41826162578,1.62534997777778,0.563906533333333,11.7032629661707,0.798105739,-0.329393179,500
"14","Cooks Canyon",0.666334060650856,1.72652745889234,0.3619954393059,7749.41826162578,1.62534997777778,0.563906533333333,11.7032629661707,0.742869246,-0.270531891,1000
"15","Cooks Canyon",0.666334060650856,1.72652745889234,0.3619954393059,7749.41826162578,1.62534997777778,0.563906533333333,11.7032629661707,0.737700756,-0.265620977,1500
"16","Cooks Canyon",0.666334060650856,1.72652745889234,0.3619954393059,7749.41826162578,1.62534997777778,0.563906533333333,11.7032629661707,0.75482467,-0.27873777,2000
"17","Cooks Canyon",0.666334060650856,1.72652745889234,0.3619954393059,7749.41826162578,1.62534997777778,0.563906533333333,11.7032629661707,0.772027706,-0.292890663,2500
"18","Cooks Canyon",0.666334060650856,1.72652745889234,0.3619954393059,7749.41826162578,1.62534997777778,0.563906533333333,11.7032629661707,0.778221701,-0.297420368,3000
"19","Eagle Lake",0.54065428922381,1.64804171204875,0.443051401237246,7859.92350667718,0.799081928104575,0.762739647058824,8.71275494019341,0.821359912,-0.363467622,500
"20","Eagle Lake",0.54065428922381,1.64804171204875,0.443051401237246,7859.92350667718,0.799081928104575,0.762739647058824,8.71275494019341,0.792563057,-0.345225874,1000
"21","Eagle Lake",0.54065428922381,1.64804171204875,0.443051401237246,7859.92350667718,0.799081928104575,0.762739647058824,8.71275494019341,0.7631677,-0.330771664,1500
"22","Eagle Lake",0.54065428922381,1.64804171204875,0.443051401237246,7859.92350667718,0.799081928104575,0.762739647058824,8.71275494019341,0.750851861,-0.325512178,2000
"23","Eagle Lake",0.54065428922381,1.64804171204875,0.443051401237246,7859.92350667718,0.799081928104575,0.762739647058824,8.71275494019341,0.742196082,-0.32464977,2500
