"buffername","ACI_NDVI_lm","ACI_NDBI_lm","ADI_NDVI_lm","ADI_NDBI_lm","AEI_NDVI_lm","AEI_NDBI_lm","BI_NDVI_lm","BI_NDBI_lm","NDSI_NDVI_lm","NDSI_NDBI_lm","BIO_NDVI_lm","BIO_NDBI_lm","ANT_NDVI_lm","ANT_NDBI_lm"
500,0.0428396705284877,0.115109281423055,0.000702995921485771,0.000752033098542414,0.00638992140503323,0.0119568927617465,0.000310486862239646,0.0289012471121412,0.00220992044822859,0.115223617113378,0.00438521997825284,0.144495728029645,0.0113633473281566,0.0867635926301432
1000,0.0145823902869973,0.081093149535302,0.000744926977351187,0.0167356003902602,0.00123088817595718,0.00091269039681106,0.00953112759419738,0.0232230769375087,0.120329384989957,0.316721332062187,0.200480127212534,0.314104642441544,0.0745865528099341,0.28073135035831
1500,5.87402347146088e-05,0.0259169630722251,0.000486763050063243,0.00721970963200332,0.00807486829650082,2.58605022800161e-05,0.0329153028837382,0.0306487704197305,0.454979564433868,0.477348815657824,0.507281055362717,0.452482065478088,0.388387398158499,0.442652590180494
2000,0.00486387105162276,0.0115669331188838,0.00633127653813605,0.0010415664141757,0.0225756067646467,0.00459326419769681,0.0430863161152424,0.0396802044597547,0.560373022022152,0.505490321210324,0.587544497914999,0.487757166681488,0.494954907767221,0.47077327172406
2500,0.0111178223298869,0.0134315753588577,0.0240822310044751,0.0013243987853603,0.0531689902713146,0.0223570858790731,0.0733680165983902,0.0716674093486079,0.55378210618554,0.497915584393212,0.550493128850131,0.462161129298517,0.501947175252976,0.475188178429593
3000,0.0128458674521776,0.0169117300721776,0.0309706499326638,0.00334020218788906,0.0656956407445228,0.031495542318098,0.0784391371444019,0.0825486795458078,0.541599291448767,0.478398470859431,0.528235404100371,0.433249835863201,0.497972160835438,0.466299007813447
