"","Buffer","NDSI_Imperv_lm","NDSI_Connect_lm","NDSI_Structure_lm","ANT_Imperv_lm","ANT_Connect_lm","ANT_Structure_lm","BIO_Imperv_lm","BIO_Connect_lm","BIO_Structure_lm"
"1",500,0.639331501172873,0.312905764963793,0.247658133982365,0.556661286692934,0.280596453215146,0.193470744592776,0.666586381508353,0.414926486646088,0.319735200539533
"2",1000,0.7947569447076,0.39689783253264,0.500078081626782,0.7309813325932,0.365757746588714,0.430836919965079,0.770788117239913,0.513643357871461,0.585718348682772
"3",1500,0.800808859438731,0.43614235158349,0.576940118433615,0.741132044061336,0.408045339032611,0.514751844121249,0.779487172486042,0.551692986770274,0.6508176477169
"4",2000,0.795114023678177,0.431152824399539,0.566193298894588,0.752767766344566,0.406843613800572,0.516618478784017,0.746298414394573,0.531313651443958,0.60131310862538
"5",2500,0.77597529998756,0.418399088303947,0.54374962229608,0.743490585086571,0.399100540467068,0.507968801365975,0.723850076434197,0.503587840185563,0.555609551199074
"6",3000,0.309874966431817,0.261848483370808,0.0404826138711336,0.229536220355642,0.228426000858837,0.0179751553088882,0.409894222234034,0.366679691070588,0.100621492379952
